,Model,Embedding,Accuracy,Macro F1 Score
0,Logistic Regression,TFIDF(10000),0.8007576038920043,0.680216297600986
1,Random Forest,TFIDF(10000),0.752330374716827,0.6045204587557327
2,XGBoost,TFIDF(10000),0.764102944999443,0.650870248997141
3,NaiveBayes,TFIDF,0.8616630148178408,0.7142180559143614
4,Logistic Regression,W2V(CBOW),0.5842091580941063,0.49632621091551143
5,Random Forest,W2V(CBOW),0.7288223715972816,0.520345887914904
6,NaiveBayes,W2V(CBOW),0.4853492776766814,0.39041708715768547
7,XGboost,W2V(CBOW),0.7408549039997029,0.5432147157240529
8,Logistic Regression,W2V(Skip-Gram),0.7374011215508597,0.6238392563144441
9,Random Forest,W2V(Skip-Gram),0.8077023062353771,0.6152529331630976
10,NaiveBayes,W2V(Skip-Gram),0.6637204293088721,0.5587546441362974
11,XGboost,W2V(Skip-Gram),0.817098079994058,0.6449330865844148
